Id_estacio;Nom_Est;Longitud_geo;Latitud_geo;alt_est;ET_mmy;Porc_datos;Celda_XY;Cant_Est;departamento;municipio;AH;ZSZH;vereda;SUBREGION;depto_region;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
26180160;ABEJORRAL [26180160];-75,43041855;5,78597487;2164;1034;96;(3-6);20;Antioquia;Abejorral;MagdalenaCauca;RioArma;;Oriente;Antioquia - Oriente;1250;1207;1069;789;1560;1903;1264;894;1763;1553;1807;1888;1703;1241;1916;1413;789;2052;1357;1180;1372;1294;1335;1378;1061;544;1129;912;1225;10;909;1484;684;896;1007;882;1518;828;1104;136;2078;1278;1229;1284;773;826;1292;1661;551;811;0;44
16050140;JURISDICCIONES [16050140];-73,23333124;7,850003294;3102;857;7;(8-11);5;NortedeSantander;Abrego;MagdalenaCauca;RioLebrijayotrosdirectosalMagdalena;BRISAS DEL PARAMO;;NortedeSantander - ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2716;2219;2501;798;556;1877;2009;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97
11110020;ABRIAQUI [11110020];-76,07500241;6,642496664;1872;1096;89;(5-5);18;Antioquia;Abriaqui;Caribe;DarienRioSucio;LAS JUNTAS;Occidente;Antioquia - Occidente;0;0;0;1164;1625;1721;1270;673;2293;2229;866;821;1021;1381;1771;1308;1591;1131;1716;1537;1323;1252;1313;1640;1343;1586;1639;1121;1891;2218;1945;1591;1433;1742;1529;1805;1904;2064;2357;1542;2862;1584;867;1297;140;0;385;1726;1801;1368;1733;25
11150030;ACANDI [11150030];-77,27694647;8,530831613;163;1543;77;(10-2);2;Choco;Acandi;Caribe;DarienRioToloyotrosDirectosalCaribe;;;Choco - ;0;0;0;0;0;0;0;2472;3110;4010;4155;5189;4349;3740;5391;3813;7037;6718;6704;4319;7511;5966;4622;5350;6045;5020;5552;4577;4391;5442;5695;4262;4637;3350;3938;4682;4270;4243;4371;5092;5653;5654;5537;4309;4446;4389;3128;4286;5000;4582;2346;4
11155010;PLAYA LA [11155010];-77,28332956;8,533333081;97;1564;10;(10-2);2;Choco;Acandi;Caribe;DarienRioToloyotrosDirectosalCaribe;SIN DEFINIR;;Choco - ;0;0;3074;6790;10885;9784;5891;7221;7285;3174;6766;4395;1925;3498;4720;4750;6215;4109;2926;3595;3226;3587;4307;5145;3763;4155;4697;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43
25020030;GUACAMAYO [25020030];-74,51222224;8,727218878;21;1588;97;(10-8);14;Bolivar;Achi;MagdalenaCauca;CaucaSanJorgeLaMojana;GUACAMAYO;;Bolivar - ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;258;2352;2346;1514;2047;1012;2364;1869;1854;2036;2816;132;96;1864;3090;3434;2653;2328;1926;2076;1377;0;0;0;0;0;0;0;0;0;0;0;0;2866;2109;0;0;73
25020350;GUARANDA [25020350];-74,54166688;8,492779313;23;1587;97;(9-8);16;Bolivar;Achi;MagdalenaCauca;CaucaSanJorgeLaMojana;BUENAVISTA;;Bolivar - ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2786;2635;2844;2088;2649;2802;2592;2424;2496;2401;2640;2346;2655;2608;2196;2180;5
25020800;BUENAVISTA [25020800];-74,52971999;8,573053879;16;1589;81;(10-8);14;Bolivar;Achi;MagdalenaCauca;DirectosBajoCaucaCgaLaRayaentreRioNechi;BUENAVISTA;;Bolivar - ;2523;2273;2792;2237;2661;2591;1962;1642;2467;1782;934;2687;2108;2274;2568;1568;1550;2200;2437;1671;1670;1830;1808;1387;1998;725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31
25025130;VICTORIA LA [25025130];-74,73333097;8,333333488;21;1588;1;(9-8);16;Bolivar;Achi;MagdalenaCauca;CaucaSanJorgeLaMojana;VILLA NUEVA;;Bolivar - ;0;0;0;0;0;0;1308;972;491;1166;715;1609;1100;0;623;1196;1111;1428;321;1059;1240;1226;1245;1262;1670;1382;1630;1047;1455;1397;751;1112;800;1240;1096;1425;1355;1251;1628;1452;1699;1587;1371;1171;1125;1275;1046;1041;1167;943;1504;65
23190710;BARRANCA LEBRIJA [23190710];-73,72444447;8,011837759;40;1582;72;(8-10);4;Cesar;Aguachica;MagdalenaCauca;RioLebrijayotrosdirectosalMagdalena;BADILLO;;Cesar - ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;793;1920;2072;2458;2316;2037;1655;2224;2328;2254;1829;1787;2445;1977;3183;2343;2573;2339;2529;2254;1880;1842;1874;2179;0;1222;2377;962;0;0;0;0;0;0;0;0;0;29
